tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,lAlXy7sA6za4lTw4JQUNLSrDX-hxDTn-s4JxpPruF8FX2Hc,긔여운정글아이번,72,47,41,False,False,True,True
MASTER,DruxJuoADJXKX__5TFtVI5KL_tpgNXSYW7VLdjvI7B3Ic7w,JuneF,14,368,361,False,False,True,False
MASTER,NH57FMNA3ki9Psg5dGvHliCD0fb12ZlpVo3WJwYFhdRKbwY,안공대표존잘덕구,0,219,212,False,False,False,False
MASTER,LUsm3cweBirtuNPc1iLrg7aX21usM3BY-btivbMTIX5_7fs,성모님의군대,99,342,327,False,False,True,True
MASTER,QaSb5hCr0_2md-6PhU5sOcoekCBUHylklM_fr8FIFaoCIf0,mofu welzhen,48,35,16,False,False,True,True
MASTER,RTICNfUlOurkfXjeQ56BqScgYq0bwNWfbvAlxO2gt55tMag,e le wo jiu chi,29,383,347,False,False,True,False
MASTER,-quPA4Eq7fZ1mWUED-m2OEIi_W0znfXPG6aiGvf6f3yVGiE,jinquanli,16,188,174,False,False,True,False
MASTER,Nhl8d1PppKM09Vpzm4LwkJkZJ89IWoJYYJOUD0RgSpLHYBU,달 따 균,62,53,43,False,False,False,False
MASTER,M0DIWXiJRfxrNhhiv42g-a_WpR1IY5z5XTj7s3F3YHtKKxY,concesslon,27,67,71,False,False,False,False
MASTER,8evFS3h1LC6e2RLORxgGlSPNuOFrjqGNV1xjf_f_0GWPaMc,내이름송현호,43,75,62,False,False,False,False
MASTER,pRVRxPqFUbUceNoN2BB-P0REfZvqMlyw5zjq3tM5rROqWHM,C86m,159,133,112,False,False,False,False
MASTER,4jXRiPyxw-ddsUXaHmU7bFIvjvtKsJaO35jU2bIv29DDvKOVOBU0HEa02g,Xing zhi yin dan,14,99,66,False,False,True,False
MASTER,7LkFDbAypjyUqOXsmaPEF19pFpAJh9f0CaxezARlDe79f8c,FA OneZang,115,303,289,False,False,False,True
MASTER,hPVtGre_xwEu23G1JW2pvk25bd6Bcz4X31ZPaaEMzW2Gib8,응애 나 지성,1,452,435,False,False,True,True
MASTER,ekAZtryCs0KktpUNf32i1qOTRzorb2q-mAgfvPuQebMCBYY,JG ceiling,46,41,27,False,False,True,False
MASTER,YmidWpYkItS4aexDsG129yV_M7m197TAKADoOQ0pFtXSNs8,SYOB 총잡이,0,239,202,False,False,True,False
MASTER,uSdMUHbzgbNGfQAOLaZ3cwKmlDubigbmKyle_39KG1zxU2w,두부한모조승모,0,28,13,False,False,False,False
MASTER,60vtDnGcBprcPW1QknTPntOwFW9KiPUMVbmq6lWo3YLlMpI,물들어올때노진구,7,156,102,False,False,False,False
MASTER,pXaBFU4GFIn5SMzaWylz29mbW12Si_jLG6nmmv7B4uvF-Kg,미안합니다1,27,192,192,False,False,False,False
MASTER,6iRlrph2x27fMwH3njRp29i49Ytr-HklnR122NKKf2ETlCE,no top,42,22,19,False,False,True,False
MASTER,EYnTxfeaXt5Kbvud_q4NMI_gtKIxOiRKNMt-NtHbaNRcBU8,혀늬요정,1,37,18,False,False,False,True
MASTER,Kct3ReFOhK4kL80ZW_o43MLB-9l3aiVDoSf7ikaXjwa4vt0, 초 문,65,173,161,False,False,False,True
MASTER,P9Z7u-HUBFGWBHjUAlyV-uUWGTYkLd3OXEQjsbegyNclSA,아기뭉보,1,128,124,False,False,True,False
MASTER,Rck72JuMLcfYzctwhlCyKDsLb6VFXP1pDztYrLbuq99R9EA,연나마꼬,10,329,302,False,False,False,False
MASTER,GkDfy0UrV4yfE4tmIuKW7Nkk5T4jCDdGVp_9qnW1EHlvKg,돌센조 까사노,41,232,150,False,False,False,False
MASTER,V3i6BSVHKx0vYAY9xHpRl3mzu5V6AhUaagkLxw9FhWnjtKQ,Secret,39,138,137,False,False,True,False
MASTER,tt_bSN42S1xzNY0ltA7Tz-ktMWloGhEQUF7--YDYPqFemBg,Schaden,133,130,110,False,False,False,True
MASTER,jczcPvSsnySYzYoPSKwGHVTfnyK-bw_13M1Eb_O2uA8Zhw,요정의6부적,47,358,332,False,False,False,True
MASTER,Nz_6NBFMI6_o673AR7I3XAH0Rv4p8IG3uF-opFgl55usVF0,one loser,81,286,261,False,False,False,False
MASTER,Glk-gFA794v_Twuv30w_vKTt8dviC7GrZ4ZOQM_S-lq80vg,풍월량 풍뎅이,1,227,147,False,False,True,False
