tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
CHALLENGER,darq5OR9IaZCOWLhbbeLKaDAwZGq2Jl8zNoz7SnxYCLBrM0YG13IpKMq6A,ndbg,1131,148,113,True,False,False,False,cOVSeXmZS8Ud4x9x9G8PcJmo3inJ5ezic30YmVxaqG2lfoPp8vffuaxe
CHALLENGER,4y7qyLEV2PmYcO1lLFSeNLTnaheDDaqPOPjmh-ZgX53DadE0i6Ap88fCvA,전부다시만들다,572,198,141,False,False,True,False,
CHALLENGER,e8dMLhGM6_Nhyw6AsTbAO_mcSfJya2QpllTOQodB87FvIQ,조세형마타,612,76,36,False,False,False,False,9CNYW28NCRRjAuveFTN1BDjkcEi_clJhZrv4AybblT8
CHALLENGER,98cXd6HGkXuV9WuJBjU_88UxM4GfpksOjkSGh3k0tqaP_MQ,happy   game ,954,289,242,True,False,False,True,hQpLQnen3G4PZ1VBjZmfOHyITeS0eFjElJXWNpjDaydIuM8
CHALLENGER,P0CSky0vT4_Po8uT7Qe6qImUDn31jojunOeEjmoFpY3I2mc,스텝이엉키면탱고,1261,126,84,True,False,False,True,cGSamUtNW8E8UMl0sQKinA90lRjfxKPJ4pLx1ZL8gVr2jish2smIGfWR
CHALLENGER,cdSbgnd5Os4fPZeudYjaPN-iXA6qSShipnb_8rgbTdMR0Ik,T1 Canna,1233,269,214,True,False,False,False,z7lAlDuwxSDSFSXhJcaLeRqDG3snYnBjtaUO9ACD_qQ_eiYQsgJIB-Pg
CHALLENGER,4QSLLiDkEDBwMUTms7HOt6kEb6asoYTHTUT3hnZZjuUKZ6uY1OMNHncdYA,imD1pig,619,421,388,False,False,True,False,ujpvGJwgh8PgNVzd9E95h3M0iEusUZLb95cJgjGGDnWpHKL0H_f9jbtS
CHALLENGER,8VlUdYy6MCKkDFHyvj8Hxn_xlk2vRRKXGDHZ1CZQyi-ixUkdUjeXwRvlrg,dcybb,976,209,142,True,False,True,False,iclKanY3p2MrfPJxXUet3-bq2YRPYx2jw06ErD-KkUBcv2uit02FWsdK
CHALLENGER,NtPO2ek-nCmW-yhu02PGDjvUAaVYU8IyPzqSFAQr8UB8lQ,Afreeca Spirit,642,245,216,False,False,False,False,EBl1ZY76eHDwEdPVCy7eVlJHpmJt9kzB8o5Lk9JKM38o
CHALLENGER,x4eEsi6tiPo49ym9VKtONncEYbvJMPN6_ggSHjgh7Yx-asg,Liiv LeO,1089,489,439,True,False,False,False,Aon-iQSjWZ3FEXuKtBbEjjrEv55n1pJUi86LHcBihLh49LA
CHALLENGER,v3PjW6CTueHvOuliSskO-FEzJV4LAJIOWzoW9PxlW_Suftw,River9,823,338,299,False,False,False,True,6RLLLbxGyWTdRsDI0QRbIm3cO-ilp_YDGWGv_eXOWEu45xziQuffz5QS
CHALLENGER,m1NUJRuWcWP5ODXZ5OBOLFTSEPUg9NkNjoggEUGEQJDkamE,서프라이즈데이,618,266,234,False,False,True,True,-61saHA3dC7el7IvmQ8iUd5st8vZ66boHTolz-OCtoJH8yQ
CHALLENGER,hIyedRjzutJwLjDKWELMZjURNV0NdFWFZZqxSiW2ZP-onjOx-7bSCdlI1w,Lpc5,682,291,249,False,False,False,True,Mrv9kjfSIcewtHmMOZDgO960zA1dz_gAbBtM5nhidkZwZ8dcX1SSOzEI
CHALLENGER,jQTtQPsqrC4PDUfPQIfVXI0YbhW2MEmcevrs_CgI5M0UEg,T1 Roach,746,214,173,False,False,False,True,LTCW68L4-gof7-nz17l2Mjgfm06dKlUuorQ0nddMxnJ7
CHALLENGER,otF3DzfAbMfQTY3L4m15HkizoSI8qJGzSqlyAepFqZZDBOtaHfiddcEdzg,담원기아김동하,1579,138,80,True,False,False,False,3RYr1g9FI3f3ztCSxTR4RngExxwM_HSeGg6SfSp0KK_QK6F_YeWC0CeX
CHALLENGER,VXOFYAKdkr-tHQH-BspGEzQ06R30puXMg2ylc4khW78CMRQ,asddasadsasd,816,284,244,True,False,False,True,QPedgxr9d4NteBxTfWcWZdanrIhflHO5aAZxEPc1R3iDGFc
CHALLENGER,FVDFBfySj18hWnYzvqMooNEEeZaqgOOhROoDY4RkFzVqYQ,NekoL,627,212,170,False,False,False,False,FL_7mDLV4qfrlfHCmLy-i4J7XDLcAMwBp8Gaan2P3ymw
CHALLENGER,CD0TmqgDCLvXhzrPH2WeKL9kVbmaA-2fjRNUEztanNhL024,BRO Delight,1087,290,245,True,False,False,True,k94bRB-CZ4O8eGD_r1C5mc1piaU4FEBEw3xzoH5gVjYLXIH9YglMr9ah
CHALLENGER,oxOYJlhfpU-fZBf1tqTCIrU0JD-sOGPX8hZnY20HjETssv4,난 배부르다,696,237,193,True,False,False,False,osgyrZmoJokg3HUVXqRZfLkyrOV5_YqUJh_enwCN90NESj4
CHALLENGER,mbnadDCmTvy7DjLofyraNlg_gX1iXTClAS3GYv6E8FnpSZY,속죄 하겠습니다,608,304,272,False,False,True,False,jRR3LA35s-rBPZn_xJbb7T5Ifr3uzhZF3oVoC33j1cr9BkifVGQYAIXi
CHALLENGER,B1sKo718qwfs-g1Dq7jhVUp8kH3K0fPmdmZ9E3vLYHGchuyf,bcaaaaa,674,319,291,False,False,True,False,
CHALLENGER,zlASyeDLtrmOi2q3ZuLFe9eagSN_O91NI21b7mg1DZvnI5HHYAKlLwoYiA,qcsj1,923,438,375,True,False,False,False,
CHALLENGER,9g5GPIeI6zGmaRhhcNkXc8eJwmXLVtxHBMdGoJMCakQ1-dHeWHywqfl4dQ,에이미 리아,545,406,352,False,False,True,False,
CHALLENGER,4P1YxgOKv3IkAALF_MwCH6pRmKKRRhvjZ0bFTi0AF6txHpo,Back ln Time,572,240,210,False,False,True,False,
CHALLENGER,Sn9DmYW-Hh3dg1gGTnvNFWKD5eVmL0NSeP57YxAiwXmngQ,Heart,838,277,232,True,False,False,False,
CHALLENGER,31pHjjqgy6ub_Ibbvpy8Bbi51AkEc4-pSFSObsKMaT8HB-0KNtVMU8iDsw,tcdmssdg,1118,190,147,True,False,False,False,
CHALLENGER,q6xqBqi45IUDpYm_jAU2j52jR7zX88xB-lcEncU5RDadqKs,     la ji game,790,111,81,True,False,False,False,
CHALLENGER,UQBJ8IhWrbsBZSPm-IS15hjL0q0nrOJ2Tg7fuxcmuIm6aOQ,장수열,643,204,163,False,False,True,False,
CHALLENGER,_PeMWXWevfGYAt2MlVJv4hsJXEiLXzvjNWCsqLEleJlyJpxB4jBf8GXudQ,mznzhtfkbjlxkl,818,132,103,True,False,False,False,ugfB_uTQgdtHnZAGAE-6a0edShbYiuIaCR7_6tLEE-YniO_lcbkz7UFq
CHALLENGER,6AFR4BvlZuw7cyYAq4cTgWBop-v862DqeElQOpg_zgzL_AB38w0rzoK4Qw,cvxnblkwerio,936,99,66,False,False,False,False,yygnQW6jt1vwGBDnWcMOe3xRdzBEcJaRKPjglJZ7RFfPOJTn6HPKh7Jd
CHALLENGER,lOAbNINPEbK3eYYsKt-MUxDE9W43tkwYLfs94cvuPFM-QiA,Gen G Ruler,632,225,190,False,False,True,False,fFcNuE-8sFl0gF35DmkUa5HFZzY6rIHk3EBVx8DTNYnOWDc
CHALLENGER,f_UbZ0Ny-K85hd60G3pbWacTLkb-d7gDdMVLf4FZdij8TsQ,새벽밤공기밤하늘,820,202,166,True,False,False,False,CRRDE1aO1q6IhZdjGS_w5Ya0LgKxTzfluE-HwMIP7nUKO7M
CHALLENGER,JQd8diaXzJbueJ2BMPw5h4uxI-zUjFrwAD5-FzLPElyNlSk7BitQT7CQVQ,fashion여자,720,184,145,True,False,False,False,WyQfmSdTsJqNWE0vlHj3x-zj_wAwEYtb_i7cpmOUUnWX_GSFsTxMpFS3
CHALLENGER,OFZuweIs4szL8dS1fTinJWP7ceIbq8xSzfdQt6gIuBsZaPM,안녕 맬,790,222,192,False,False,False,False,sHTOhDrD1x6GO5WUHZKS9BW9SDOPkXk-Jud2yKnPTmSeAuY
CHALLENGER,zgV66mQGCiddJxy21gsQ2FSdebmfKwdehUxvjfLZxC7mrEAQGQLYPVvkNg,숨바꼭질입니다,595,206,165,True,False,False,False,29w2SMB17aBwFj9BB5JTzngqaMR4ue8mJ2h1UBZS_pRhzLpKrSFNYsPv
CHALLENGER,jV2AZFZwkjtZaUBuffVYw4_JqUBCIvqMtQpS-uuX1d_nfOSEa51vPlDKFw,stan7,1056,179,109,False,False,False,False,1eBHZHfCadCFMi_uEwiARYs3ELT4RVWG7jNRrUXY-EGh7S-0D0jNFLjB
CHALLENGER,n_f45xxcmeE620WKEP3D-OUlIeJf4wRaJDAa2q5MnhZdpwGFs0Qd_J-ASQ,깨달음을얻은남자,581,275,226,False,False,True,False,T1Y0DEM8PZUktkV1OT7LzCxjgriC-nX00l70L8-0fp_cBKrmvYqDwecV
CHALLENGER,JjOjLrCRZGLHFWnag_d-0lVMf-6JTtWwgpn8YDL1xjPG098,Poxu,865,231,192,True,False,False,True,DsOvc6faqdNS_R9KHWEldXEEnnUO0dWoPfPeIwN0s-Rs6vM
CHALLENGER,l1lDYQQ083cF5ZVb0JAevXTVQOdFsan6jYlY7Y3ePD1jrE8,BRO Roamer,1038,230,174,True,False,False,False,8i48vM5jy8CsE7gx8httiiI_sJs_DSk61ruSCljz1soUeug
CHALLENGER,Q0QAlcZxXjnttgjro2n0SwjxeO_55_csSruUD-NNSsVj-NTwx7T0kANMWQ,asxzveqfasd,655,181,141,False,False,True,False,YjFZ0luiHqDwdY9TJzBrxIU7mole6PE8PL10GnrHIjTi7y5YmTFUYIir
CHALLENGER,DHxOSyxRUfqjrVYvrQ63H3MBP4pRC7S0fOnnqCiGniteH7s,팀개못하면누누함,628,130,102,True,False,False,False,zXmBRUxjOs4oAhXLuB6_be14cly22p2tAgkPXKxj1HyMZckcSYkSQbcA
CHALLENGER,GZmx-g6imPN2x9f7o7gni4xko6ojeunHRYzS-BPLPLvvJE_88RCkTm5mAQ,black linyue,1026,94,33,False,False,True,True,LaUF0cqqPMGJzUU5zjYMrMQnAmYWQ2vbiwfBEsjj_u0VDjanSifQET6M
CHALLENGER,uHiJSCToc0RQPWqfobK2AoJLUivNFfM89H5KLWW9Ey4CSBM,DWG BeryL,670,120,87,True,False,False,False,qSybPAGA1iLQ_rI5VGZ_JYgs3kbP4BVgPJ_NQwFR8B64Fx8
CHALLENGER,SfWDC9qaZt2oFITVeSf0-BE_uGt2w_5bGZsdcxsdVgDph8k,Cuzz,814,136,92,True,False,False,False,-eR2pO-2rp7zKYBiY4C6mC-CDemjekfax6YnicA0AWcP8ZE
