assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
19.0,18.0,"{'10-20': 2.8, '0-10': 1.8}",,1026.0,1026.0,6648.0,,"{'10-20': 1147.6, '0-10': 440.40000000000003}",3.0,15622.0,"{'10-20': 883, '0-10': 537.7}",15350.0,18.0,TOP,0.0,,,3,20345.0,3144.0,4925.0,DUO_SUPPORT,0.0,70784.0,40084.0,15880.0,7367.0,46.0,0.0,2575.0,0.0,483.0,0.0,0.0,,,True,,"{'10-20': 1390.8000000000002, '0-10': 724.7}"
13.0,17.0,"{'10-20': 3.5, '0-10': 2.8}",,344.0,344.0,21346.0,,"{'10-20': 2340.1, '0-10': 899.5999999999999}",9.0,13200.0,"{'10-20': 594, '0-10': 584.5}",12500.0,7.0,TOP,0.0,,,5,49501.0,13804.0,16759.0,DUO_SUPPORT,20.0,57614.0,16639.0,32397.0,9272.0,63.0,70.0,468.0,460.0,4926.0,0.0,0.0,,,True,,"{'10-20': 1035.9, '0-10': 718.8}"
5.0,14.0,"{'10-20': 8.1, '0-10': 5.1}",,9375.0,2084.0,13573.0,,"{'10-20': 689.8, '0-10': 522.3}",7.0,10726.0,"{'10-20': 351.8, '0-10': 229.7}",10575.0,6.0,TOP,8.0,0.0,8.0,4,14955.0,537.0,8872.0,DUO,19.0,119785.0,15891.0,16715.0,2460.0,155.0,153.0,0.0,0.0,446.0,24.0,3.0,2.0,11.0,True,,"{'10-20': 554.5999999999999, '0-10': 373.9}"
5.0,15.0,"{'10-20': 6.6, '0-10': 5.3}",,4410.0,775.0,20907.0,,"{'10-20': 755.1, '0-10': 528.8}",3.0,10279.0,"{'10-20': 311.4, '0-10': 343.2}",9650.0,8.0,TOP,8.0,0.0,4.0,5,45710.0,9188.0,15467.0,DUO,16.0,97191.0,12668.0,23255.0,4529.0,146.0,224.0,32.0,32.0,2112.0,11.0,7.0,3.0,13.0,True,,"{'10-20': 449.29999999999995, '0-10': 412.7}"
22.0,18.0,"{'10-20': 1.6, '0-10': 1.4}",,907.0,907.0,29299.0,,"{'10-20': 1802, '0-10': 868.9000000000001}",9.0,17953.0,"{'10-20': 694.2, '0-10': 585}",16950.0,19.0,TOP,0.0,,,1,2794.0,1393.0,11595.0,DUO_SUPPORT,0.0,69562.0,36911.0,35366.0,10256.0,45.0,0.0,1426.0,475.0,1867.0,0.0,0.0,,,True,,"{'10-20': 1238.2, '0-10': 674}"
24.0,18.0,"{'10-20': 3.5, '0-10': 3.4}",,3993.0,3993.0,11991.0,,"{'10-20': 1257.8, '0-10': 842.4000000000001}",13.0,17092.0,"{'10-20': 657.4000000000001, '0-10': 516.7}",14600.0,12.0,TOP,0.0,,,2,76038.0,16706.0,12110.0,DUO_SUPPORT,2.0,113614.0,36619.0,31002.0,8464.0,91.0,35.0,19037.0,6976.0,993.0,0.0,0.0,,,True,,"{'10-20': 1164.7, '0-10': 621.5}"
32.0,18.0,"{'10-20': 1.9, '0-10': 2.4}",,208.0,208.0,57540.0,,"{'10-20': 1742.2, '0-10': 673.9000000000001}",11.0,15656.0,"{'10-20': 692.4000000000001, '0-10': 450.4}",13250.0,5.0,TOP,0.0,,,3,1256.0,320.0,14718.0,DUO_SUPPORT,38.0,76773.0,23809.0,32493.0,2812.0,47.0,85.0,1320.0,1205.0,1451.0,0.0,0.0,,,True,,"{'10-20': 1121.6, '0-10': 684.6}"
19.0,18.0,"{'10-20': 3.9, '0-10': 3.6}",,1457.0,1457.0,31243.0,,"{'10-20': 1143.6999999999998, '0-10': 881.8}",6.0,18273.0,"{'10-20': 742.1, '0-10': 599.7}",16650.0,14.0,TOP,0.0,,,5,109500.0,24155.0,12427.0,DUO_SUPPORT,8.0,113090.0,27385.0,29787.0,12397.0,98.0,51.0,1480.0,1120.0,1797.0,0.0,0.0,,,True,,"{'10-20': 1216.1, '0-10': 730.5}"
23.0,18.0,"{'10-20': 1.4, '0-10': 1.3}",,0.0,0.0,54690.0,,"{'10-20': 2218.9, '0-10': 1424.9}",13.0,12640.0,"{'10-20': 538.8, '0-10': 545.9}",12300.0,5.0,TOP,0.0,,,2,13716.0,5629.0,22806.0,DUO_SUPPORT,50.0,40598.0,18640.0,36654.0,1408.0,27.0,414.0,1082.0,992.0,4179.0,0.0,0.0,,,True,,"{'10-20': 1031.6999999999998, '0-10': 681.7}"
24.0,18.0,"{'10-20': 4.300000000000001, '0-10': 2.5}",,2511.0,2511.0,9146.0,,"{'10-20': 1904.5, '0-10': 695.2}",8.0,17172.0,"{'10-20': 884.8, '0-10': 656.7}",15483.0,19.0,TOP,0.0,,,3,79899.0,31645.0,15469.0,DUO_SUPPORT,2.0,102023.0,46069.0,25997.0,10377.0,68.0,23.0,0.0,0.0,2019.0,0.0,0.0,,,True,,"{'10-20': 1460.1, '0-10': 732.7}"
26.0,18.0,"{'10-20': 3.2, '0-10': 2.8}",,3280.0,3280.0,7673.0,,"{'10-20': 1460.6999999999998, '0-10': 644.2}",7.0,14651.0,"{'10-20': 704.7, '0-10': 555.5999999999999}",14000.0,11.0,TOP,0.0,,,4,66622.0,26681.0,11878.0,DUO_SUPPORT,32.0,78616.0,34250.0,23221.0,4595.0,64.0,203.0,2370.0,0.0,1766.0,0.0,0.0,,,True,,"{'10-20': 1346.5, '0-10': 733.1}"
21.0,18.0,"{'10-20': 2.8, '0-10': 4.7}",,551.0,551.0,11518.0,,"{'10-20': 1434.2, '0-10': 804.1}",10.0,16145.0,"{'10-20': 755.8, '0-10': 573.3}",12500.0,15.0,TOP,0.0,,,5,2661.0,254.0,13996.0,DUO,75.0,80111.0,25225.0,23811.0,3506.0,86.0,444.0,0.0,0.0,2486.0,0.0,0.0,,,True,,"{'10-20': 1051.5, '0-10': 782.8}"
37.0,18.0,"{'10-20': 3, '0-10': 2.7}",,232.0,232.0,54654.0,,"{'10-20': 3575.9, '0-10': 1250.4}",8.0,14517.0,"{'10-20': 633.6, '0-10': 542.9}",12450.0,7.0,TOP,0.0,,,6,28631.0,8895.0,25868.0,DUO_CARRY,85.0,78449.0,28730.0,55608.0,4539.0,63.0,797.0,2116.0,2001.0,12237.0,0.0,0.0,,,True,,"{'10-20': 1294.3, '0-10': 748.5999999999999}"
32.0,18.0,"{'10-20': 2.7, '0-10': 1.2}",,765.0,765.0,51122.0,,"{'10-20': 3528.7000000000003, '0-10': 1282.5}",11.0,15169.0,"{'10-20': 781.9, '0-10': 459.4}",14050.0,12.0,TOP,0.0,,,8,8187.0,2157.0,26422.0,DUO_SUPPORT,139.0,74605.0,29849.0,55679.0,6345.0,47.0,899.0,13597.0,6508.0,10271.0,0.0,0.0,,,True,,"{'10-20': 1204.5, '0-10': 631.8}"
5.0,14.0,"{'10-20': 8.5, '0-10': 6.2}","{'10-20': 0.19999999999999973, '0-10': -1.9000000000000004}",9038.0,4353.0,13832.0,"{'10-20': 143.49999999999994, '0-10': 182.20000000000002}","{'10-20': 703, '0-10': 516.6}",3.0,9432.0,"{'10-20': 399, '0-10': 243.60000000000002}",9025.0,3.0,TOP,10.0,0.0,7.0,10,101735.0,6739.0,14369.0,SOLO,15.0,109902.0,7658.0,19129.0,4729.0,168.0,114.0,6432.0,88.0,435.0,16.0,3.0,2.0,8.0,True,"{'10-20': -26.100000000000023, '0-10': -88.9}","{'10-20': 507.59999999999997, '0-10': 417.4}"
21.0,17.0,"{'10-20': 5.300000000000001, '0-10': 5.5, '20-30': 3.3}",,8804.0,5427.0,68717.0,,"{'10-20': 1316.4, '0-10': 827, '20-30': 2405.2}",7.0,15840.0,"{'10-20': 484.8, '0-10': 321, '20-30': 520.6}",13950.0,14.0,TOP,6.0,1.0,0.0,3,29546.0,5910.0,31713.0,SOLO,98.0,142454.0,31172.0,58126.0,7634.0,150.0,1544.0,24279.0,6754.0,2711.0,25.0,2.0,2.0,11.0,True,,"{'10-20': 397.1, '0-10': 464.20000000000005, '20-30': 665.1}"
9.0,15.0,"{'10-20': 6.2, '0-10': 6.5}","{'10-20': 2.2, '0-10': 2.2}",3774.0,3041.0,15845.0,"{'10-20': -315.20000000000005, '0-10': -187.70000000000002}","{'10-20': 743.9, '0-10': 432.29999999999995}",0.0,12590.0,"{'10-20': 481.1, '0-10': 288.1}",11333.0,12.0,TOP,12.0,8.0,0.0,7,91268.0,16221.0,12182.0,SOLO,33.0,110195.0,20717.0,20317.0,9263.0,173.0,170.0,18474.0,4043.0,1513.0,27.0,4.0,7.0,8.0,True,"{'10-20': 217.40000000000003, '0-10': 140.70000000000005}","{'10-20': 517.9000000000001, '0-10': 481.90000000000003}"
6.0,17.0,"{'10-20': 6.9, '0-10': 8.2, '20-30': 3.5}",,15296.0,3015.0,23974.0,,"{'10-20': 901.1, '0-10': 431.5, '20-30': 1688.6999999999998}",4.0,15294.0,"{'10-20': 510.40000000000003, '0-10': 302, '20-30': 531}",14325.0,12.0,TOP,20.0,12.0,0.0,9,141091.0,19742.0,18398.0,SOLO,38.0,155609.0,22081.0,34720.0,12166.0,187.0,224.0,9877.0,458.0,3919.0,37.0,5.0,6.0,9.0,True,,"{'10-20': 547.6, '0-10': 449.7, '20-30': 570.2}"
14.0,15.0,"{'10-20': 4.199999999999999, '0-10': 5.9}","{'10-20': -1.8000000000000003, '0-10': -2.1000000000000005}",2886.0,0.0,23144.0,"{'10-20': -126.29999999999984, '0-10': 121.69999999999999}","{'10-20': 1070.8000000000002, '0-10': 527.2}",8.0,10069.0,"{'10-20': 434.90000000000003, '0-10': 216.70000000000002}",9383.0,7.0,TOP,4.0,0.0,4.0,4,62751.0,15289.0,14798.0,SOLO,21.0,84665.0,25135.0,24934.0,2600.0,122.0,130.0,20475.0,8407.0,1556.0,15.0,1.0,2.0,9.0,True,"{'10-20': 38.49999999999997, '0-10': -125.50000000000003}","{'10-20': 512.9, '0-10': 349.4}"
15.0,16.0,"{'10-20': 4.4, '0-10': 6.7, '20-30': 2.2}","{'10-20': -1.9999999999999996, '0-10': 0.10000000000000009, '20-30': -3.9999999999999996}",10212.0,6563.0,24250.0,"{'10-20': 225.89999999999998, '0-10': 142.4, '20-30': -291.1000000000001}","{'10-20': 1221.7, '0-10': 625.3, '20-30': 1004.2}",6.0,11127.0,"{'10-20': 335.79999999999995, '0-10': 288.79999999999995, '20-30': 296.9}",9875.0,3.0,TOP,11.0,3.0,3.0,4,102364.0,15627.0,14927.0,SOLO,27.0,109332.0,17688.0,31164.0,6347.0,150.0,106.0,3241.0,0.0,1454.0,32.0,5.0,3.0,10.0,True,"{'10-20': -92.6, '0-10': 49.50000000000003, '20-30': -87.5}","{'10-20': 362, '0-10': 492.70000000000005, '20-30': 416.1}"
4.0,15.0,"{'10-20': 7.1, '0-10': 6.4}","{'10-20': 0.20000000000000018, '0-10': 0.7000000000000002}",15225.0,7688.0,17444.0,"{'10-20': -55.599999999999966, '0-10': 254.79999999999998}","{'10-20': 1044.1, '0-10': 657.0999999999999}",5.0,9775.0,"{'10-20': 452.5, '0-10': 230.29999999999998}",8700.0,5.0,TOP,8.0,0.0,1.0,9,94929.0,13816.0,14489.0,SOLO,16.0,107169.0,15450.0,20414.0,10016.0,161.0,81.0,1570.0,0.0,1234.0,21.0,4.0,3.0,9.0,True,"{'10-20': -20.5, '0-10': -20.100000000000037}","{'10-20': 606.5, '0-10': 414.2}"
12.0,13.0,"{'10-20': 3.8, '0-10': 6.1}",,9827.0,9827.0,14990.0,,"{'10-20': 1227.3, '0-10': 394.5}",6.0,9315.0,"{'10-20': 418.5, '0-10': 295.8}",8983.0,5.0,TOP,0.0,0.0,0.0,8,56819.0,9574.0,11489.0,DUO,14.0,68947.0,15494.0,19119.0,2003.0,102.0,122.0,11288.0,5080.0,1099.0,17.0,2.0,0.0,8.0,True,,"{'10-20': 473.8, '0-10': 446.70000000000005}"
