assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
9.0,14.0,"{'10-20': 0.7, '0-10': 0.7, '20-30': 1.4}","{'10-20': -1.4, '0-10': -0.10000000000000003, '20-30': -0.8000000000000003}",30168.0,3660.0,8415.0,"{'10-20': -88.09999999999997, '0-10': -290.9, '20-30': 280.9}","{'10-20': 465.8, '0-10': 279.1, '20-30': 1209.9}",2.0,10786.0,"{'10-20': 303.1, '0-10': 279.79999999999995, '20-30': 384}",9875.0,6.0,JUNGLE,91.0,8.0,31.0,2,11391.0,425.0,14844.0,NONE,23.0,89086.0,11955.0,19724.0,11079.0,29.0,101.0,13107.0,517.0,1447.0,46.0,7.0,11.0,9.0,True,"{'10-20': -158, '0-10': -90.9, '20-30': 181}","{'10-20': 343.8, '0-10': 272.6, '20-30': 570.4}"
15.0,16.0,"{'10-20': 0.4, '0-10': 0.2, '20-30': 0.7}","{'10-20': -1.7999999999999998, '0-10': 0.1, '20-30': -0.30000000000000004}",26094.0,0.0,39103.0,"{'10-20': 282.09999999999997, '0-10': 40.400000000000034, '20-30': 177}","{'10-20': 1373.4, '0-10': 824.5, '20-30': 1287.5}",3.0,14213.0,"{'10-20': 473.5, '0-10': 289.9, '20-30': 535.7}",13850.0,12.0,JUNGLE,169.0,10.0,114.0,1,111637.0,14396.0,27246.0,NONE,37.0,186657.0,24055.0,40315.0,21934.0,13.0,325.0,14686.0,1294.0,3318.0,22.0,4.0,3.0,4.0,True,"{'10-20': -3.4999999999999716, '0-10': 48.099999999999994, '20-30': 108.29999999999998}","{'10-20': 523.7, '0-10': 352.5, '20-30': 614.2}"
10.0,12.0,"{'10-20': 1.4, '0-10': 0.1}",,11538.0,1655.0,8600.0,,"{'10-20': 1155.3, '0-10': 723.1}",0.0,8657.0,"{'10-20': 445.5, '0-10': 337.8}",8225.0,8.0,JUNGLE,100.0,2.0,76.0,1,12719.0,414.0,14669.0,NONE,30.0,102476.0,8960.0,19540.0,13742.0,15.0,257.0,7436.0,1014.0,308.0,9.0,1.0,1.0,3.0,True,,"{'10-20': 600.7, '0-10': 356.29999999999995}"
8.0,14.0,"{'10-20': 2.6, '0-10': 1.8}","{'10-20': 2.1, '0-10': 1.2}",20834.0,1765.0,16378.0,"{'10-20': 375.4999999999999, '0-10': 134.89999999999998}","{'10-20': 1395.8, '0-10': 722.5}",1.0,11186.0,"{'10-20': 635.5, '0-10': 301}",10500.0,8.0,JUNGLE,103.0,5.0,64.0,2,25028.0,1778.0,17748.0,NONE,9.0,144433.0,12611.0,24271.0,11696.0,62.0,477.0,11990.0,954.0,225.0,16.0,2.0,1.0,3.0,True,"{'10-20': 189.30000000000004, '0-10': 107.79999999999998}","{'10-20': 705.1, '0-10': 407.1}"
9.0,17.0,"{'10-20': 0.9, '0-10': 1.1, '20-30': 1.9}","{'10-20': -0.7, '0-10': 0.7000000000000001, '20-30': 1.2}",14234.0,2342.0,23176.0,"{'10-20': -66.19999999999999, '0-10': 203, '20-30': -382.6}","{'10-20': 1075.4, '0-10': 942.6, '20-30': 1398.9}",5.0,12717.0,"{'10-20': 399.29999999999995, '0-10': 313.3, '20-30': 364.5}",10625.0,5.0,JUNGLE,169.0,24.0,113.0,10,17261.0,663.0,25502.0,NONE,3.0,183074.0,16178.0,36640.0,24662.0,42.0,75.0,9278.0,842.0,706.0,25.0,5.0,5.0,7.0,True,"{'10-20': 10.000000000000028, '0-10': 73.4, '20-30': 345.40000000000003}","{'10-20': 481.90000000000003, '0-10': 453.5, '20-30': 546.5}"
13.0,16.0,"{'10-20': 3.0999999999999996, '0-10': 0.7}","{'10-20': 2.2, '0-10': 0.30000000000000004}",30800.0,0.0,23887.0,"{'10-20': -142, '0-10': 49.50000000000003}","{'10-20': 1200.8, '0-10': 816.4}",5.0,15118.0,"{'10-20': 621, '0-10': 251.10000000000002}",13125.0,14.0,JUNGLE,124.0,7.0,78.0,10,141543.0,28753.0,24728.0,NONE,26.0,178690.0,36173.0,34434.0,18480.0,51.0,306.0,23230.0,5158.0,3317.0,24.0,14.0,2.0,6.0,True,"{'10-20': 255, '0-10': -16.599999999999966}","{'10-20': 813.4, '0-10': 301.6}"
11.0,15.0,"{'10-20': 1.5, '0-10': 0.6}","{'10-20': -1.2, '0-10': 0.39999999999999997}",12808.0,1075.0,19801.0,"{'10-20': -406.7, '0-10': 65.00000000000003}","{'10-20': 928.5999999999999, '0-10': 614.3}",1.0,10052.0,"{'10-20': 319.79999999999995, '0-10': 235.4}",9375.0,4.0,JUNGLE,124.0,4.0,95.0,8,90789.0,7479.0,17734.0,NONE,22.0,125054.0,11512.0,23835.0,14707.0,28.0,226.0,6483.0,973.0,486.0,29.0,7.0,8.0,5.0,True,"{'10-20': -171.70000000000002, '0-10': -114.89999999999998}","{'10-20': 393.6, '0-10': 310.6}"
7.0,14.0,"{'10-20': 1.3, '0-10': 0.1}","{'10-20': -0.09999999999999998, '0-10': 0.1}",24213.0,3929.0,16020.0,"{'10-20': -216.20000000000005, '0-10': -24.099999999999966}","{'10-20': 1030.8, '0-10': 772.7}",6.0,12192.0,"{'10-20': 499.90000000000003, '0-10': 387.2}",11875.0,14.0,JUNGLE,96.0,4.0,49.0,2,16786.0,1615.0,21517.0,NONE,29.0,122044.0,26827.0,31111.0,10615.0,25.0,142.0,7882.0,2244.0,1437.0,25.0,1.0,3.0,4.0,True,"{'10-20': 139.7, '0-10': 81.30000000000001}","{'10-20': 492, '0-10': 443.4}"
7.0,12.0,"{'10-20': 1.5, '0-10': 0.7}","{'10-20': -0.6000000000000001, '0-10': 0.6}",18629.0,857.0,16722.0,"{'10-20': 74.69999999999993, '0-10': -37.99999999999997}","{'10-20': 1059.1, '0-10': 709.4}",3.0,8703.0,"{'10-20': 486.4, '0-10': 300.2}",7525.0,5.0,JUNGLE,96.0,4.0,64.0,4,54086.0,5271.0,12872.0,NONE,22.0,103285.0,9892.0,17944.0,7018.0,24.0,283.0,11883.0,720.0,827.0,19.0,5.0,3.0,6.0,True,"{'10-20': -33.19999999999999, '0-10': -8.100000000000009}","{'10-20': 501.6, '0-10': 360.8}"
15.0,15.0,"{'10-20': 1.1, '0-10': 0.3}","{'10-20': 0.3, '0-10': -0.30000000000000004}",16183.0,5109.0,17346.0,"{'10-20': -656.8999999999999, '0-10': -7.499999999999943}","{'10-20': 1174.2, '0-10': 832.6}",3.0,13707.0,"{'10-20': 585.4, '0-10': 336.5}",12550.0,12.0,JUNGLE,144.0,12.0,118.0,4,145000.0,15616.0,17214.0,NONE,151.0,165890.0,18617.0,30155.0,15005.0,27.0,556.0,10414.0,1443.0,607.0,42.0,6.0,8.0,16.0,True,"{'10-20': 91.39999999999998, '0-10': -22.900000000000034}","{'10-20': 555.5, '0-10': 409.6}"
